227.747, 38.525, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
227.044, 37.829, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
226.399, 37.078, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
225.817, 36.277, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
225.302, 35.432, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
224.856, 34.548, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
224.483, 33.631, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
224.186, 32.687, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
223.966, 31.722, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
223.824, 30.743, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
223.763, 29.812, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
223.750, 29.148, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
223.750, 24.222, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
223.750, 19.296, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
223.750, 14.370, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
223.750, 9.444, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
223.750, 4.518, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
223.750, -0.407, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
223.751, -5.333, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
223.751, -10.259, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
223.751, -15.185, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
223.751, -20.111, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
223.751, -25.037, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
223.751, -29.963, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
225.251, -29.943, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
225.260, -30.624, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
225.312, -31.550, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
225.444, -32.467, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
225.654, -33.370, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
225.942, -34.252, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
226.304, -35.105, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
226.738, -35.924, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
227.242, -36.703, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
227.811, -37.435, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
228.440, -38.116, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
229.126, -38.740, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
229.863, -39.302, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
230.646, -39.799, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
231.469, -40.226, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
232.325, -40.581, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
233.209, -40.861, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
234.114, -41.064, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
235.033, -41.188, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
235.708, -41.228, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
236.330, -41.241, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
241.286, -41.241, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
246.242, -41.241, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
251.198, -41.241, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
256.154, -41.241, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
261.109, -41.240, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
266.065, -41.240, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
271.021, -41.240, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
275.977, -41.240, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
280.933, -41.240, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
285.889, -41.240, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
290.845, -41.240, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
295.801, -41.240, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
300.757, -41.240, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
305.713, -41.240, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
310.668, -41.240, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
315.624, -41.239, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
320.580, -41.239, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
325.536, -41.239, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
330.492, -41.239, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
335.448, -41.239, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
336.145, -41.229, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
337.071, -41.176, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
337.988, -41.043, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
338.891, -40.831, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
339.772, -40.543, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
340.625, -40.180, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
341.444, -39.744, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
342.222, -39.240, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
342.954, -38.671, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
343.633, -38.040, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
344.256, -37.354, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
344.818, -36.616, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
345.314, -35.832, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
345.740, -35.009, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
346.094, -34.152, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
346.373, -33.268, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
346.575, -32.363, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
346.698, -31.444, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
346.737, -30.782, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
346.750, -30.160, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
346.750, -25.239, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
346.750, -20.319, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
346.750, -15.398, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
346.750, -10.478, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
346.750, -5.557, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
346.750, -0.636, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
346.749, 4.284, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
346.749, 9.205, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
346.749, 14.125, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
