J1 J2 J3 J5 J6
-10.5803 48.72 51.2636 0.0 0.0
-10.4197 50.0319 49.8245 0.0 0.0
-10.2638 51.3845 48.3565 0.0 0.0
-10.1125 52.7818 46.855 0.0 0.0
-10.0898 52.9823 46.6407 0.0 0.0
-10.052 53.2567 46.348 0.0 0.0
-10.0015 53.5268 46.0603 0.0 0.0
-9.9384 53.7903 45.7802 0.0 0.0
-9.8633 54.0453 45.5094 0.0 0.0
-9.7768 54.2902 45.2498 0.0 0.0
-9.6798 54.5232 45.0031 0.0 0.0
-9.5726 54.7422 44.7717 0.0 0.0
-9.4561 54.946 44.5564 0.0 0.0
-9.3314 55.1325 44.3599 0.0 0.0
-9.1988 55.3008 44.1826 0.0 0.0
-9.0596 55.449 44.0265 0.0 0.0
-8.9146 55.5767 43.8922 0.0 0.0
-8.7647 55.6822 43.7815 0.0 0.0
-8.6108 55.7648 43.6946 0.0 0.0
-8.4541 55.8241 43.6325 0.0 0.0
-8.2954 55.8595 43.5954 0.0 0.0
-8.1356 55.8706 43.5837 0.0 0.0
-7.9245 55.8477 43.6076 0.0 0.0
-7.8181 55.8244 43.6321 0.0 0.0
-7.0053 55.6258 43.8408 0.0 0.0
-6.1897 55.4497 44.0259 0.0 0.0
-5.3715 55.2959 44.1877 0.0 0.0
-4.5512 55.1644 44.3262 0.0 0.0
-3.729 55.0549 44.4416 0.0 0.0
-2.9052 54.9674 44.534 0.0 0.0
-2.0802 54.9017 44.6032 0.0 0.0
-1.2544 54.8578 44.6495 0.0 0.0
-0.4281 54.8357 44.6729 0.0 0.0
0.3985 54.8353 44.6733 0.0 0.0
1.2248 54.8564 44.6511 0.0 0.0
2.0507 54.8995 44.6056 0.0 0.0
2.8757 54.9643 44.5371 0.0 0.0
3.6995 55.0511 44.4457 0.0 0.0
4.5218 55.1598 44.3311 0.0 0.0
5.3422 55.2905 44.1933 0.0 0.0
6.1604 55.4435 44.0325 0.0 0.0
6.9761 55.6187 43.8481 0.0 0.0
7.789 55.8166 43.6403 0.0 0.0
8.5987 56.0372 43.4089 0.0 0.0
8.7185 56.0689 43.3755 0.0 0.0
8.8773 56.099 43.344 0.0 0.0
9.0367 56.1049 43.3379 0.0 0.0
9.1958 56.0862 43.3575 0.0 0.0
9.3537 56.0429 43.4028 0.0 0.0
9.5094 55.9761 43.4729 0.0 0.0
9.6618 55.8858 43.5676 0.0 0.0
9.81 55.7727 43.6864 0.0 0.0
9.953 55.6375 43.8283 0.0 0.0
10.0899 55.4821 43.9918 0.0 0.0
10.2198 55.307 44.176 0.0 0.0
10.3419 55.1139 44.3795 0.0 0.0
10.4553 54.9041 44.6007 0.0 0.0
10.5592 54.6793 44.838 0.0 0.0
10.6529 54.4411 45.0899 0.0 0.0
10.7355 54.1915 45.3544 0.0 0.0
10.8068 53.9322 45.6293 0.0 0.0
10.866 53.6648 45.9134 0.0 0.0
10.9256 53.2959 46.3061 0.0 0.0
10.9488 53.1106 46.5037 0.0 0.0
11.1118 51.7071 48.0087 0.0 0.0
11.2798 50.3483 49.4797 0.0 0.0
11.4529 49.0315 50.9205 0.0 0.0
11.6312 47.7529 52.3348 0.0 0.0
11.8152 46.5107 53.725 0.0 0.0
12.0049 45.3023 55.0946 0.0 0.0
12.2008 44.1264 56.4454 0.0 0.0
12.4029 42.981 57.7802 0.0 0.0
12.6118 41.8655 59.1006 0.0 0.0
12.8278 40.7787 60.4089 0.0 0.0
13.0512 39.7198 61.7073 0.0 0.0
13.2824 38.6887 62.9972 0.0 0.0
13.5217 37.6847 64.281 0.0 0.0
13.7697 36.7083 65.5599 0.0 0.0
14.0268 35.7593 66.8365 0.0 0.0
14.2934 34.8384 68.1121 0.0 0.0
14.3299 34.7103 68.2928 0.0 0.0
14.3717 34.5335 68.5436 0.0 0.0
14.3959 34.3556 68.7977 0.0 0.0
14.4023 34.1778 69.0533 0.0 0.0
14.3906 34.0012 69.309 0.0 0.0
14.3609 33.8272 69.563 0.0 0.0
14.3131 33.657 69.813 0.0 0.0
14.2469 33.4916 70.0579 0.0 0.0
14.1633 33.3323 70.2954 0.0 0.0
14.0622 33.18 70.5241 0.0 0.0
13.9445 33.036 70.7419 0.0 0.0
13.8105 32.9009 70.9478 0.0 0.0
13.6615 32.7758 71.1394 0.0 0.0
13.4985 32.6616 71.3157 0.0 0.0
13.3223 32.5586 71.4755 0.0 0.0
13.1342 32.4678 71.617 0.0 0.0
12.9361 32.3898 71.7394 0.0 0.0
12.7291 32.3247 71.8418 0.0 0.0
12.4376 32.2584 71.9463 0.0 0.0
12.29 32.2327 71.9871 0.0 0.0
11.1535 32.0629 72.2572 0.0 0.0
10.008 31.9107 72.5019 0.0 0.0
8.8542 31.7758 72.7205 0.0 0.0
7.6933 31.6582 72.9129 0.0 0.0
6.526 31.5575 73.0784 0.0 0.0
5.3533 31.4738 73.2171 0.0 0.0
4.1758 31.4069 73.3285 0.0 0.0
2.995 31.3567 73.4124 0.0 0.0
1.8116 31.3231 73.4687 0.0 0.0
0.6265 31.3061 73.4973 0.0 0.0
-0.5589 31.3057 73.4978 0.0 0.0
-1.7439 31.3218 73.4708 0.0 0.0
-2.9274 31.3545 73.4161 0.0 0.0
-4.1083 31.4037 73.3337 0.0 0.0
-5.2861 31.4697 73.2239 0.0 0.0
-6.4591 31.5525 73.0869 0.0 0.0
-7.6267 31.6521 72.9228 0.0 0.0
-8.7882 31.7688 72.7319 0.0 0.0
-9.9422 31.9027 72.5148 0.0 0.0
-11.0882 32.0539 72.2716 0.0 0.0
-11.0398 32.2203 72.0067 0.0 0.0
-11.1969 32.2442 71.9688 0.0 0.0
