J1 J2 J3 J5 J6
-5.2559 30.4717 43.6685 -0.8012 -7.5612
-5.2681 30.2332 43.4126 -0.7793 -7.6077
-9.9699 29.6246 45.0991 -0.0167 -32.4417
-5.3077 26.9308 40.668 -0.0145 -16.1482
-1.1032 26.1789 39.2434 -0.0122 -2.1456
2.7078 26.1709 39.302 0.129 3.8521
8.0401 27.57 41.8098 0.1569 21.4415
12.5971 31.1359 47.2695 0.1802 38.3271
6.9655 29.1594 43.7095 1.4154 9.7257
7.3946 17.0723 50.5061 0.7793 7.6077
12.8326 17.1155 51.9714 0.0167 32.4417
7.4506 13.5215 46.5365 0.0145 16.1482
2.5998 12.5141 44.8298 0.0122 2.1456
-1.7996 12.5608 44.876 -0.129 -3.8521
-7.963 14.3802 47.9166 -0.1569 -21.4415
-13.2422 19.0916 54.72 -0.1802 -38.3271
-6.7213 17.58 49.8623 -1.4154 -9.7257
-5.2681 30.2332 43.4126 -0.7793 -7.6077
-5.2803 29.9959 43.156 -0.7575 -7.6538
-9.8833 29.3667 44.7516 -0.018 -31.8897
-5.3222 26.7873 40.4729 -0.0156 -15.9803
-1.2139 26.0569 39.0823 -0.0132 -2.2924
2.7908 26.0447 39.1403 0.1398 3.8945
6.321 26.7205 40.3888 0.1605 15.3976
10.9215 29.2856 44.6098 0.1844 31.4334
6.9367 28.9394 43.4326 1.3932 9.6157
7.4085 16.7839 50.1631 0.7575 7.6538
12.7319 16.7755 51.5326 0.018 31.8897
7.4671 13.337 46.2922 0.0156 15.9803
2.7275 12.3594 44.6276 0.0132 2.2924
-1.8956 12.4074 44.6707 -0.1398 -3.8945
-5.9749 13.2843 46.176 -0.1605 -15.3976
-11.2992 16.6447 51.3678 -0.1844 -31.4334
-6.688 17.2795 49.5283 -1.3932 -9.6157
-5.2803 29.9959 43.156 -0.7575 -7.6538
-5.2923 29.7597 42.8987 -0.7358 -7.6995
-9.7949 29.1117 44.4046 -0.0192 -31.3333
-5.3365 26.6446 40.2777 -0.0168 -15.8115
-1.325 25.9357 38.9212 -0.0143 -2.4409
2.874 25.919 38.9784 0.1507 3.9374
6.3204 26.5702 40.1877 0.1725 15.1713
10.8221 29.0203 44.2541 0.1974 30.8311
6.9081 28.7207 43.1554 1.3711 9.5061
7.4224 16.4971 49.8197 0.7358 7.6995
12.6293 16.4398 51.0953 0.0192 31.3333
7.4833 13.1538 46.0482 0.0168 15.8115
2.8556 12.2057 44.4257 0.0143 2.4409
-1.9917 12.2549 44.4654 -0.1507 -3.9375
-5.9742 13.1002 45.9214 -0.1725 -15.1713
-11.1839 16.3056 50.9145 -0.1974 -30.8311
-6.6549 16.9806 49.1939 -1.3711 -9.5061
-5.2923 29.7597 42.8987 -0.7358 -7.6995
-5.3042 29.5247 42.6407 -0.7144 -7.7448
-9.7048 28.8599 44.0583 -0.0205 -30.7725
-5.3505 26.5028 40.0825 -0.018 -15.6419
-1.4366 25.8152 38.7602 -0.0153 -2.5911
2.9573 25.794 38.8165 0.1618 3.9809
6.3193 26.4208 39.9866 0.1845 14.9433
10.7204 28.7581 43.899 0.2104 30.2225
6.8795 28.5033 42.8779 1.3491 9.397
7.4361 16.212 49.4762 0.7144 7.7448
12.5247 16.1083 50.6595 0.0205 30.7725
7.4992 12.9717 45.8043 0.018 15.6419
2.9843 12.053 44.224 0.0153 2.5911
-2.088 12.1034 44.26 -0.1618 -3.9809
-5.973 12.9174 45.6671 -0.1845 -14.9433
-11.066 15.9712 50.4629 -0.2104 -30.2225
-6.6219 16.6835 48.8593 -1.3491 -9.397
-5.3042 29.5247 42.6407 -0.7144 -7.7448
-5.316 29.2908 42.3819 -0.6932 -7.7897
-9.613 28.6111 43.7129 -0.0217 -30.2073
-5.3642 26.3618 39.8872 -0.0191 -15.4713
-1.5486 25.6954 38.5991 -0.0164 -2.7429
3.0407 25.6695 38.6543 0.1729 4.0248
6.3177 26.2723 39.7854 0.1965 14.7136
10.6164 28.4989 43.5446 0.2234 29.6076
6.8511 28.2874 42.6003 1.3271 9.2885
7.4498 15.9285 49.1325 0.6932 7.7897
12.4181 15.7813 50.2256 0.0217 30.2073
7.5147 12.7908 45.5606 0.0191 15.4713
3.1134 11.9013 44.0226 0.0164 2.7429
-2.1844 11.9528 44.0546 -0.1729 -4.0248
-5.9712 12.736 45.4131 -0.1965 -14.7136
-10.9454 15.6415 50.0131 -0.2234 -29.6076
-6.589 16.388 48.5245 -1.3271 -9.2885
-5.316 29.2908 42.3819 -0.6932 -7.7897
-5.3278 29.0581 42.1226 -0.6721 -7.8343
-9.5196 28.3654 43.3683 -0.0229 -29.638
-5.3777 26.2216 39.6917 -0.0203 -15.2999
-1.661 25.5763 38.4382 -0.0174 -2.8964
3.1242 25.5456 38.492 0.1842 4.0692
6.3157 26.1247 39.5844 0.2086 14.4823
10.5101 28.2431 43.1911 0.2363 28.9866
6.8228 28.0728 42.3224 1.3053 9.1804
7.4633 15.6467 48.7886 0.6721 7.8343
12.3096 15.4588 49.7937 0.0229 29.638
7.53 12.6111 45.317 0.0203 15.2999
3.243 11.7506 43.8214 0.0174 2.8964
-2.2809 11.8032 43.8493 -0.1842 -4.0692
-5.9688 12.5561 45.1595 -0.2086 -14.4823
-10.8222 15.3167 49.5655 -0.2363 -28.9866
-6.5563 16.0943 48.1894 -1.3053 -9.1804
-5.3278 29.0581 42.1226 -0.6721 -7.8343
-5.3394 28.8266 41.8626 -0.6512 -7.8785
-9.4244 28.123 43.0249 -0.0242 -29.0645
-5.3909 26.0823 39.4963 -0.0214 -15.1276
-1.774 25.458 38.2773 -0.0185 -3.0517
3.2079 25.4223 38.3295 0.1956 4.1142
6.3131 25.978 39.3834 0.2208 14.2493
10.4016 27.9905 42.8387 0.2492 28.3595
6.7946 27.8595 42.0442 1.2836 9.0727
6.7338 19.7856 46.4859 0.8842 6.6172
7.4767 15.3666 48.4446 0.6512 7.8785
12.1992 15.1407 49.3639 0.0242 29.0645
7.5449 12.4327 45.0737 0.0214 15.1276
3.3732 11.601 43.6207 0.0185 3.0517
-2.3777 11.6547 43.644 -0.1956 -4.1142
-5.9659 12.3776 44.9062 -0.2208 -14.2493
-10.6965 14.9968 49.1201 -0.2492 -28.3595
-6.5237 15.8022 47.854 -1.2836 -9.0727
-5.251 24.3739 44.2321 -0.8842 -6.6172
-5.3394 28.8266 41.8626 -0.6512 -7.8785
-5.3509 28.5962 41.6019 -0.6304 -7.9223
-9.3276 27.8837 42.6826 -0.0254 -28.4869
-5.4038 25.9438 39.3007 -0.0226 -14.9544
-1.8873 25.3405 38.1165 -0.0196 -3.2087
3.2917 25.2995 38.1669 0.2072 4.1596
6.31 25.8321 39.1823 0.2331 14.0145
10.2908 27.7411 42.4875 0.2621 27.7263
6.7665 27.6476 41.7659 1.2621 8.9656
6.7065 19.7918 46.0465 0.876 6.5919
7.49 15.0883 48.1005 0.6304 7.9223
12.0868 14.8272 48.9363 0.0254 28.4869
7.5596 12.2554 44.8306 0.0226 14.9544
3.5038 11.4523 43.4202 0.0196 3.2087
-2.4745 11.5071 43.4387 -0.2072 -4.1596
-5.9624 12.2006 44.6534 -0.2331 -14.0145
-10.5681 14.6819 48.6772 -0.2621 -27.7263
-6.4913 15.512 47.5185 -1.2621 -8.9656
-5.2591 23.862 44.0791 -0.876 -6.5919
-5.3509 28.5962 41.6019 -0.6304 -7.9223
-5.3624 28.367 41.3405 -0.6098 -7.9658
-9.2291 27.6476 42.3415 -0.0266 -27.9052
-5.4164 25.8062 39.1051 -0.0238 -14.7803
-2.0011 25.2236 37.9558 -0.0207 -3.3675
3.3756 25.1773 38.0041 0.2189 4.2056
6.3064 25.6872 38.9815 0.2454 13.7781
10.1778 27.4952 42.1376 0.2749 27.0871
6.7385 27.437 41.4872 1.2406 8.8589
6.6794 19.8021 45.6088 0.8679 6.5667
7.5031 14.8117 47.7563 0.6098 7.9658
11.9726 14.5183 48.5111 0.0266 27.9052
7.5739 12.0793 44.5877 0.0238 14.7803
3.635 11.3047 43.22 0.0207 3.3675
-2.5715 11.3605 43.2334 -0.2189 -4.2056
-5.9583 12.025 44.401 -0.2454 -13.7781
-10.4372 14.3719 48.2368 -0.2749 -27.0871
-6.4589 15.2235 47.1829 -1.2406 -8.8589
-5.2672 23.349 43.9219 -0.8679 -6.5667
-5.3624 28.367 41.3405 -0.6098 -7.9658
-5.3737 28.1391 41.0786 -0.5894 -8.0089
-9.129 27.4148 42.0019 -0.0278 -27.3196
-5.4288 25.6695 38.9095 -0.025 -14.6053
-2.7152 25.1527 37.8989 -0.0223 -5.7917
3.5376 25.0616 37.8537 0.2299 4.5461
6.3023 25.5432 38.7807 0.2578 13.5399
10.0625 27.2527 41.7894 0.2877 26.442
6.7107 27.2279 41.2085 1.2192 8.7527
6.6525 19.8164 45.1727 0.8598 6.5417
7.5162 14.5368 47.412 0.5894 8.0089
11.8565 14.2139 48.0884 0.0278 27.3196
7.5879 11.9044 44.345 0.025 14.6053
4.4586 11.2165 43.1421 0.0223 5.7917
-2.7586 11.2217 43.0434 -0.2299 -4.5461
-5.9536 11.8509 44.1491 -0.2578 -13.5399
-10.3037 14.0671 47.7994 -0.2877 -26.442
-6.4268 14.9368 46.847 -1.2192 -8.7527
-5.2755 22.8348 43.7603 -0.8598 -6.5417
-5.3737 28.1391 41.0786 -0.5894 -8.0089
-5.385 27.9123 40.816 -0.5691 -8.0517
-9.0272 27.1853 41.6639 -0.029 -26.7301
-5.4409 25.5336 38.7138 -0.0262 -14.4294
-2.8133 25.0371 37.7384 -0.0235 -5.8915
3.6196 24.9403 37.6904 0.242 4.5849
6.2977 25.4002 38.5801 0.2702 13.3
9.9451 27.0136 41.4427 0.3005 25.7911
6.6829 27.0201 40.9294 1.1979 8.6469
6.6258 19.8347 44.7382 0.8517 6.5169
7.5292 14.2637 47.0676 0.5691 8.0517
11.7385 13.9142 47.6684 0.029 26.7302
7.6016 11.7307 44.1025 0.0262 14.4294
4.5715 11.0704 42.9424 0.0235 5.8915
-2.8534 11.077 42.8379 -0.242 -4.585
-5.9483 11.6782 43.8976 -0.2702 -13.2999
-10.1676 13.7673 47.3649 -0.3005 -25.7911
-6.3947 14.6518 46.511 -1.1979 -8.6469
-5.2838 22.3194 43.5944 -0.8517 -6.5169
-5.385 27.9123 40.816 -0.5691 -8.0517
-5.3961 27.6868 40.5527 -0.5491 -8.0941
-8.9239 26.959 41.3273 -0.0302 -26.1369
-5.4528 25.3985 38.5181 -0.0273 -14.2525
-2.9115 24.9221 37.5778 -0.0247 -5.9923
3.7017 24.8197 37.527 0.2542 4.6243
6.2926 25.258 38.3794 0.2827 13.0583
9.8254 26.7781 41.0981 0.3132 25.1344
6.6553 26.8136 40.6502 1.1768 8.5416
6.5993 19.857 44.3054 0.8437 6.4922
7.542 13.9923 46.7232 0.5491 8.0941
11.6187 13.6192 47.2511 0.0302 26.1369
7.615 11.5583 43.8602 0.0273 14.2525
4.6847 10.9253 42.743 0.0247 5.9923
-2.9484 10.9333 42.6325 -0.2542 -4.6243
-5.9424 11.507 43.6466 -0.2827 -13.0583
-10.0291 13.4728 46.9338 -0.3132 -25.1344
-6.3628 14.3687 46.1749 -1.1768 -8.5416
-5.2922 21.8028 43.424 -0.8437 -6.4922
-5.3961 27.6868 40.5527 -0.5491 -8.0941
-5.4072 27.4625 40.289 -0.5291 -8.1361
-8.819 26.7361 40.9927 -0.0314 -25.54
-5.4643 25.2643 38.3223 -0.0285 -14.0748
-3.01 24.8079 37.4173 -0.0258 -6.094
5.1399 24.8675 37.7005 0.2818 9.1055
9.7036 26.5461 40.7554 0.3259 24.4721
6.6278 26.6086 40.3708 1.1557 8.4368
6.573 19.8831 43.8739 0.8357 6.4676
7.5547 13.7228 46.3787 0.5291 8.1361
11.4972 13.3289 46.8369 0.0314 25.54
7.628 11.3871 43.6183 0.0285 14.0748
4.7982 10.7811 42.5436 0.0258 6.094
-4.6101 11.0128 42.8257 -0.2818 -9.1054
-9.888 13.1834 46.5059 -0.3259 -24.4721
-6.331 14.0873 45.8386 -1.1557 -8.4368
-5.3007 21.2849 43.2492 -0.8357 -6.4676
-5.4072 27.4625 40.289 -0.5291 -8.1361
-5.4181 27.2394 40.0246 -0.5093 -8.1778
-8.7125 26.5166 40.6599 -0.0327 -24.9395
-5.4756 25.131 38.1266 -0.0297 -13.8961
-3.1088 24.6943 37.2566 -0.027 -6.1967
5.175 24.7405 37.5237 0.2945 8.9939
9.5796 26.3176 40.4149 0.3386 23.8042
6.6004 26.4049 40.0912 1.1348 8.3324
6.5469 19.913 43.4439 0.8278 6.4432
7.5674 13.455 46.0342 0.5093 8.1778
11.3739 13.0432 46.4257 0.0327 24.9395
7.6408 11.2171 43.3766 0.0297 13.8961
4.9119 10.6379 42.3446 0.027 6.1967
-4.6508 10.8618 42.6044 -0.2945 -8.9939
-9.7445 12.8993 46.0818 -0.3386 -23.8042
-6.2993 13.8078 45.5023 -1.1348 -8.3324
-5.3093 20.7659 43.0701 -0.8278 -6.4432
-5.4181 27.2394 40.0246 -0.5093 -8.1778
-5.429 27.0176 39.7596 -0.4897 -8.2192
-8.6046 26.3003 40.329 -0.0338 -24.3354
-5.4866 24.9985 37.9308 -0.0309 -13.7165
-3.2078 24.5814 37.096 -0.0282 -6.3004
5.2099 24.6142 37.3468 0.3072 8.8814
9.4535 26.0927 40.0767 0.3513 23.1309
6.5731 26.2027 39.8115 1.1139 8.2285
6.521 19.9468 43.0154 0.82 6.4189
7.5799 13.189 45.6896 0.4897 8.2192
11.2488 12.7622 46.0175 0.0338 24.3354
